location,date,time,text
0,21/09/2016,11:36:44,Boring
0,21/09/2016,14:26:02, 
0,21/09/2016,14:27:08,Windy and sunny
0,21/09/2016,15:16:02,Good
0,22/09/2016,09:19:54, 
0,22/09/2016,09:32:54, 
0,22/09/2016,12:21:34,Cold
0,22/09/2016,17:29:04,køligt
0,23/09/2016,16:34:18,Good 
0,23/09/2016,17:30:33,Fresh
0,24/09/2016,06:39:36,Fresh
0,24/09/2016,09:03:52, 
0,24/09/2016,10:03:28,Windy
0,24/09/2016,10:03:39,Windy
0,24/09/2016,10:15:45, 
0,24/09/2016,11:50:59,Nice
0,24/09/2016,12:05:30,Windy
0,24/09/2016,13:07:59,Fresh
0,24/09/2016,13:15:48,"Nice sunny weather,  little wind "
0,24/09/2016,13:20:17,Nice Sunny and windy
0,24/09/2016,13:40:21,Windy
0,24/09/2016,14:29:18, 
0,24/09/2016,14:32:11,Windy 
0,24/09/2016,15:00:57, 
0,24/09/2016,15:03:57, 
0,25/09/2016,11:34:44,Windy and sunny 
0,25/09/2016,12:14:17,"Wind, sunshine, 20 degread"
0,25/09/2016,12:32:12,"Warm Wind, september Sun "
0,25/09/2016,12:56:22, 
0,25/09/2016,13:04:42,Hvor er det dejligt i blåvand
0,25/09/2016,17:35:12,Alluring 
0,26/09/2016,07:39:51,"Nice sunny weather,  little wind "
0,26/09/2016,10:11:58,It is hot and sunny
0,26/09/2016,13:35:45, 
0,26/09/2016,13:36:14,Nice and sunny
0,27/09/2016,08:47:37, 
0,27/09/2016,08:48:09,Det føles fantastisk 
0,27/09/2016,08:49:00,Det føles fantastisk 
0,27/09/2016,09:14:31,Godt
0,27/09/2016,09:45:06,Good
0,27/09/2016,13:58:34,Nice Sunny and windy
0,28/09/2016,13:03:26,Windy
0,28/09/2016,13:05:05,"Windy, but warn"
0,01/10/2016,08:21:11,Fresh
0,01/10/2016,09:22:21,Wonderful and a bit cold
0,01/10/2016,09:28:50,"Mild, beautiful light"
0,01/10/2016,10:09:58,Windy but nice!
0,01/10/2016,10:38:12,Cold
0,01/10/2016,11:35:58,Windy
0,01/10/2016,11:41:47,Stormy
0,01/10/2016,11:47:00,Nice
0,01/10/2016,11:57:04,Hold
0,01/10/2016,12:08:23,Windy
0,01/10/2016,12:18:59,Cold and windy
0,01/10/2016,12:19:43,Cold and windy
0,01/10/2016,12:24:53,Perfekt weather for a stroll on the beach 
0,01/10/2016,12:46:40,Hood
0,01/10/2016,12:51:56,Nice and warm
0,01/10/2016,13:03:30,Nice
0,01/10/2016,14:11:12,Fint vejr
0,01/10/2016,14:56:33, 
0,01/10/2016,14:56:48, 
0,01/10/2016,15:15:30, 
0,01/10/2016,15:21:53,Cool and slightly Wendy. 
0,01/10/2016,16:53:56,Light wind getting Dark soon
0,02/10/2016,10:12:13,windy
0,02/10/2016,10:19:54, 
0,02/10/2016,10:20:27,Nice
0,02/10/2016,11:08:26, 
0,02/10/2016,11:09:37, Windi
0,02/10/2016,12:14:53,Fresh
0,02/10/2016,12:42:46,Nice
0,02/10/2016,15:17:43,Rainy
0,02/10/2016,17:40:38, 
0,03/10/2016,10:13:18,Flood
0,03/10/2016,10:13:19,Flood
0,03/10/2016,14:47:50,Nice
0,05/10/2016,19:03:49,Fresh
0,06/10/2016,14:13:03,Fresh
0,06/10/2016,18:52:22,Fresh
0,07/10/2016,06:15:04,Fresh
0,08/10/2016,12:16:16,Fresh
0,08/10/2016,14:51:08,Fresh
0,15/10/2016,16:25:37,Nice Sunny and windy
1,29/08/2016,17:01:09,I am looking in to the spiral garden
1,01/09/2016,10:24:46,flowing from the installation into the distant horizon. I'm drawn to the tanker at the edge of the h
1,01/09/2016,11:36:18, 
1,01/09/2016,14:24:33, 
1,01/09/2016,15:11:19, 
1,02/09/2016,17:03:12,phone display :-)
1,03/09/2016,11:48:39,Blåvands huk
1,03/09/2016,13:25:46,On the waves
1,03/09/2016,15:12:27, 
1,03/09/2016,15:48:04, 
1,04/09/2016,07:15:21, 
1,04/09/2016,12:08:42, 
1,04/09/2016,12:38:38, 
1,04/09/2016,13:16:12,Fine
1,04/09/2016,15:19:08,here
1,06/09/2016,18:17:45,Horisont eternity
1,07/09/2016,20:03:08, 
1,10/09/2016,09:01:31, 
1,10/09/2016,11:02:32,towards home.... The UK
1,10/09/2016,12:38:42, 
1,10/09/2016,12:49:38, 
1,10/09/2016,13:24:02, 
1,10/09/2016,13:57:09, 
1,10/09/2016,15:48:25, 
1,10/09/2016,16:23:09, 
1,11/09/2016,13:30:29,abc
1,11/09/2016,13:48:25, 
1,12/09/2016,11:00:07,Hallo 
1,12/09/2016,15:44:29, 
1,13/09/2016,18:01:59, 
1,13/09/2016,18:02:00, 
1,15/09/2016,16:31:59, 
1,16/09/2016,11:57:11, 
1,16/09/2016,11:57:33, 
1,16/09/2016,12:59:12, 
1,16/09/2016,12:59:30, 
1,16/09/2016,13:00:18,livinf coastline
1,16/09/2016,13:01:03,livinf coas
1,16/09/2016,13:05:19, 
1,16/09/2016,13:05:32,10
1,17/09/2016,09:07:38,In the sky
1,17/09/2016,11:08:51, 
1,17/09/2016,11:47:55, 
1,17/09/2016,12:31:00, 
1,17/09/2016,13:57:32,"On the beach, the waves and a nice installation!"
1,18/09/2016,08:19:31, 
1,18/09/2016,11:14:38,Towards The sea
1,18/09/2016,12:13:35, 
1,19/09/2016,09:07:25, 
1,19/09/2016,09:08:37, 
1,19/09/2016,10:59:54,??
1,22/09/2016,10:54:10, 
1,22/09/2016,12:49:28, 
1,23/09/2016,10:32:15, 
1,23/09/2016,15:28:47, 
1,23/09/2016,15:29:11, 
1,24/09/2016,09:52:34, 
1,24/09/2016,09:53:09, 
1,24/09/2016,09:53:54, 
1,24/09/2016,12:13:32, 
1,25/09/2016,09:00:42,mod havet
1,25/09/2016,09:01:05,mod havet
1,25/09/2016,09:11:44, 
1,25/09/2016,12:02:11,"Across the Art, towards the sea and the Wind Farm, Horns Rev"
1,25/09/2016,12:29:43, 
1,25/09/2016,13:17:32, 
1,25/09/2016,14:12:09,ON my ass
1,25/09/2016,15:36:59, 
1,26/09/2016,15:04:56, 
1,28/09/2016,07:46:19,gfhh
1,28/09/2016,12:58:34,View point towards Living Coastline Wadden Tide
1,30/09/2016,13:04:28, 
1,30/09/2016,13:40:16, 
1,30/09/2016,16:12:07, 
1,01/10/2016,09:14:21,7000
1,01/10/2016,10:30:20, 
1,01/10/2016,12:05:06,West
1,01/10/2016,12:33:51,Horizon
1,02/10/2016,11:19:37,Here
1,02/10/2016,13:18:47,Blåvand
1,02/10/2016,13:19:08,Blåvand
1,07/10/2016,11:31:59, 
1,07/10/2016,11:45:01, 
1,08/10/2016,18:09:36, 
1,11/10/2016,19:13:53, 
1,14/10/2016,18:08:41, 
1,19/10/2016,16:16:14, 
2,01/09/2016,09:05:15,sunny and windy with high mottled clouds
2,03/09/2016,14:10:26,Cloudy and windy
2,04/09/2016,15:08:52,Always awesome
2,06/09/2016,17:56:54,Westcoast ish
2,11/09/2016,08:47:08,Windy 
2,16/09/2016,08:49:18,Sunny and windy 
2,17/09/2016,14:47:23,Nice
2,18/09/2016,09:21:21, 
2,18/09/2016,09:21:52, 
2,18/09/2016,09:49:40,Sunny and hot
2,18/09/2016,10:39:03,Wonderful. 
2,22/09/2016,09:09:16, 
2,23/09/2016,16:12:50,Good
2,26/09/2016,13:15:22, 
2,28/09/2016,15:19:49,Rough vind
2,01/10/2016,10:14:28, 
2,01/10/2016,10:33:16,Windy
2,03/10/2016,14:50:38,Windy
3,01/09/2016,09:07:24,"protected, playful, childlike, happy, charmed"
3,01/09/2016,15:35:47, 
3,02/09/2016,16:14:37,Good
3,02/09/2016,16:46:19,Hidden
3,02/09/2016,17:06:05,I feel very amazing!!!
3,03/09/2016,13:10:29,Nice
3,03/09/2016,14:32:56,Its funny and nice
3,03/09/2016,15:59:06,Free
3,04/09/2016,15:06:29,Great
3,04/09/2016,15:36:04,"A bit akward. It is beautiful today, greyish light and nice wind - and all the sticks bring associat"
3,06/09/2016,17:53:28,Happy
3,07/09/2016,14:00:24,Safely within The cochlea
3,07/09/2016,15:54:16,Nature:-)
3,10/09/2016,10:42:48,curious.... what more is there to find!
3,10/09/2016,12:20:09, 
3,10/09/2016,15:19:27,Protected 
3,11/09/2016,08:47:34,Flying
3,11/09/2016,10:34:32, 
3,11/09/2016,10:34:32, 
3,11/09/2016,14:20:57,Hyggeligt 
3,11/09/2016,14:24:35,Like s graveyard
3,12/09/2016,16:43:26,Det kildre
3,16/09/2016,10:01:56,Scared
3,16/09/2016,10:02:52,I feel large
3,17/09/2016,14:48:47,Nice
3,17/09/2016,14:53:10, 
3,17/09/2016,15:08:03, 
3,17/09/2016,16:02:30,Elevated
3,18/09/2016,10:29:51,Calm
3,18/09/2016,10:36:11,Big cheese dippers
3,18/09/2016,10:40:00,Well
3,24/09/2016,13:02:58,Ew
3,24/09/2016,13:42:10,Hvor skulle jeg vide det fra jeg har aldrig været i rummet
3,25/09/2016,15:06:27,Surrounded
3,01/10/2016,09:13:05,I feel the Wind 
3,01/10/2016,12:13:26,Small
3,01/10/2016,15:05:39, 
3,01/10/2016,15:05:57, 
3,02/10/2016,12:05:54,Ikke så godt 
4,31/08/2016,15:20:16,Sand
4,02/09/2016,16:49:48,Stormy days
4,03/09/2016,14:34:33,The zoo
4,03/09/2016,15:57:43,Footsteps
4,04/09/2016,15:03:14,Beach
4,04/09/2016,15:03:15,Beach
4,06/09/2016,17:51:20,Childhood
4,10/09/2016,14:54:17,To appreciate Life and experiences
4,10/09/2016,15:20:32,Military cemetery 
4,11/09/2016,08:48:11,Corncircles
4,16/09/2016,12:33:06,Sand
4,17/09/2016,14:49:52,Sand
4,17/09/2016,16:03:26,The Beach of my childhood
4,18/09/2016,10:36:38,Hunger
4,24/09/2016,13:04:02, 
4,25/09/2016,15:07:49,I have to go the Beach more often
5,31/08/2016,15:19:27,About when the Kids were young
5,01/09/2016,09:13:18,playing at the beach as a child
5,03/09/2016,12:18:58,Sewing machine
5,03/09/2016,13:10:02,?
5,03/09/2016,15:56:17,The Beach 
5,04/09/2016,15:03:40,Cacation
5,06/09/2016,17:50:44,Fascination
5,10/09/2016,14:55:43,I Dont no
5,12/09/2016,16:41:36,Simmer 
5,12/09/2016,16:42:07,Simmer ved stranden
5,15/09/2016,09:13:30, 
5,16/09/2016,10:00:27,Walking at the beach with mom
5,17/09/2016,14:51:01,Beach
5,17/09/2016,14:51:18,Beach
5,18/09/2016,10:37:36,No memories. Being in The moment. 
5,24/09/2016,13:42:44,En sommerhus tur
5,25/09/2016,15:09:03,Childhood
5,01/10/2016,12:12:44,Hollidays
6,31/08/2016,15:14:27,Fine 
6,02/09/2016,15:20:28,I feel good!
6,02/09/2016,16:48:14,Wind
6,03/09/2016,16:03:01,Discusting 
6,04/09/2016,15:02:12,Amazed
6,06/09/2016,17:54:24,Fun
6,07/09/2016,13:56:25,Relaxed and optimistic
6,10/09/2016,14:49:19,Hate spiders
6,10/09/2016,15:18:27,Comphy 
6,11/09/2016,13:24:16,Tænker på mine egne lange ben
6,11/09/2016,14:17:13,Godt
6,15/09/2016,17:39:59,Edderkop
6,17/09/2016,15:09:11, 
6,17/09/2016,15:09:46,Det er sjovet
6,18/09/2016,09:48:31,Bad
6,18/09/2016,10:34:35,In love
6,19/09/2016,13:29:40,Very big dock spider
6,23/09/2016,16:14:18,Very good christian 😊
6,24/09/2016,13:08:58, 
6,24/09/2016,15:16:33,"I can feel the wind, the sun, the sand & I can smell the salt in the air!!! What a wonderful place t"
6,25/09/2016,13:58:16, 
6,25/09/2016,15:04:19,Wondering
6,01/10/2016,13:23:27,Windy
6,02/10/2016,12:03:56,Undrende
6,03/10/2016,14:49:21,Warm 
7,31/08/2016,15:16:39,That it is okay
7,01/09/2016,09:15:57,"I could sleep hear! its a lovely space, I wish I had company to share this with"
7,01/09/2016,15:34:22, 
7,03/09/2016,10:01:35,I am not hungry
7,03/09/2016,12:11:41,I'm in a snail
7,03/09/2016,13:07:30,Interesting animal
7,03/09/2016,14:11:18,Beetle
7,03/09/2016,14:16:59,Idk
7,03/09/2016,15:03:31,Freshwater insect by the sea??
7,03/09/2016,15:54:47,Bille
7,04/09/2016,15:07:11,Bäähh
7,04/09/2016,15:32:10,I am thinking about the flat flat Beach and how things on it create special kinds of spacing. And my
7,06/09/2016,15:37:02,Adr!
7,06/09/2016,15:37:10,No!
7,06/09/2016,17:49:19,Fantastic
7,07/09/2016,13:54:06,What the fuck am i doing with these qr codes?
7,07/09/2016,15:52:03,How nice! LIVE!!!
7,10/09/2016,10:36:20,There's a bug!
7,10/09/2016,15:13:47,En bille
7,10/09/2016,15:16:41,We shall find a place to pee
7,10/09/2016,15:25:50,Bille
7,11/09/2016,08:45:51,Peace
7,11/09/2016,13:22:28,Adrrr - føj
7,11/09/2016,14:16:12,At jeg er inde i en snegl
7,11/09/2016,14:21:54,Inside now
7,12/09/2016,16:39:29,Kakerlak.!
7,13/09/2016,17:31:04,Yerk
7,13/09/2016,21:12:16,Yerk
7,15/09/2016,09:10:50,Scarry 
7,15/09/2016,17:38:00, 
7,15/09/2016,17:38:02, 
7,16/09/2016,08:32:22,En bille
7,16/09/2016,12:18:22,I think this bull ... 
7,16/09/2016,12:41:50,Nature Living beutifull animal
7,16/09/2016,17:02:55,I am thinking that The rain is a little Cold 
7,17/09/2016,10:44:54,Football
7,17/09/2016,11:00:46, 
7,17/09/2016,12:12:47,Help
7,17/09/2016,14:44:39,Bug jak 
7,17/09/2016,14:50:37,A bit pile of shit
7,17/09/2016,14:52:20,Why...
7,17/09/2016,16:00:04,The course of the sun
7,18/09/2016,10:24:34,Can't see anything. Too much light... 
7,18/09/2016,10:33:19,Pokemon
7,18/09/2016,10:40:54, 
7,18/09/2016,14:18:27,I need to hide🙈
7,19/09/2016,13:26:48,Light around the heart
7,23/09/2016,16:15:20,Its beatufull
7,24/09/2016,01:01:37, 
7,24/09/2016,08:14:10,Nothing
7,24/09/2016,12:06:46, 
7,24/09/2016,12:58:47,Ew
7,24/09/2016,13:41:18,Ad
7,24/09/2016,15:31:03,Mitch
7,25/09/2016,11:37:06,I'm getting hungry 
7,25/09/2016,11:37:06,I'm getting hungry 
7,25/09/2016,13:39:54,Ad
7,26/09/2016,13:37:23,confused
7,01/10/2016,11:36:24,Pik
7,01/10/2016,11:48:46,Iam enjoying 
7,01/10/2016,12:11:49,Yak
7,01/10/2016,14:52:06,Pik
7,01/10/2016,14:58:12, 
7,02/10/2016,12:46:33,Vi står i regnvejr og får en spændende oplevelse
8,31/08/2016,15:15:20,Exited 😊
8,01/09/2016,09:20:08,like running around and climbing over the walls
8,02/09/2016,15:19:21,Maybe better? Maybe not...
8,02/09/2016,16:47:37,Younger?
8,03/09/2016,09:32:29,the same 
8,03/09/2016,12:23:31, 
8,03/09/2016,13:07:29,Spændene
8,03/09/2016,13:08:10,Windy
8,03/09/2016,13:08:23,Here i like to play
8,03/09/2016,14:12:13,Happy
8,03/09/2016,16:00:34,Summerholiday
8,04/09/2016,13:04:16,Good
8,04/09/2016,14:38:30, 
8,04/09/2016,14:38:53,good
8,04/09/2016,14:39:09,good
8,04/09/2016,15:02:35,I am young
8,06/09/2016,17:55:08,Inspired
8,07/09/2016,13:55:19,Looking towards new horisont through the present Maze
8,10/09/2016,10:39:56,more energetic
8,10/09/2016,14:49:57,I Love My Age 14 yr.
8,10/09/2016,15:17:48,What the fuck is this?
8,10/09/2016,15:27:51,Happy
8,10/09/2016,15:28:56,Relaxed
8,11/09/2016,08:46:42,Smaller
8,11/09/2016,11:17:45, 
8,11/09/2016,13:24:56,Dejlig og flot sommeraften
8,11/09/2016,14:17:57,At det var en legeplads
8,14/09/2016,09:41:49,Exellent
8,16/09/2016,12:45:12,Leds controlled
8,16/09/2016,12:46:47,I would not think as much about the art
8,17/09/2016,14:52:03, 
8,17/09/2016,15:32:28,Vesterhavet
8,17/09/2016,16:01:46,Unhappier
8,18/09/2016,10:34:59,Tired
8,19/09/2016,13:31:24,Beautiful
8,21/09/2016,12:34:54, 
8,24/09/2016,12:08:14,Probably bored
8,24/09/2016,13:37:49,Happyness
8,25/09/2016,09:23:00, 
8,25/09/2016,10:08:00,Fiskekutter 
8,25/09/2016,11:39:47,More energetic
8,25/09/2016,12:34:11,Like an egg
8,25/09/2016,15:05:12,Romantic
8,01/10/2016,12:11:04,Small
8,01/10/2016,14:58:50, 
8,02/10/2016,12:03:38,Sexy
8,02/10/2016,12:04:53,Yngre
9,31/08/2016,14:02:12,Not good
9,31/08/2016,15:13:34,Happy
9,01/09/2016,06:09:03,Frygt
9,01/09/2016,09:18:17,"lonely, I came by myself"
9,01/09/2016,15:32:43,Happy and sad
9,03/09/2016,09:31:25,good
9,03/09/2016,12:10:40,Good
9,03/09/2016,13:07:17,Happy and relaxing
9,03/09/2016,13:09:07,Good
9,03/09/2016,14:11:46,Happy
9,04/09/2016,13:03:39,Nice
9,04/09/2016,13:44:44, 
